booking_id,status,rider_id,booking_created_at,quote_id
5038a365-ebd4-4ac3-a939-9569689d44c4,CANCELLED,0f1d1661-e625-4b59-8933-41ceed5e27dd,2022-12-21T02:44:53Z,48e9c518-b819-400d-bcc7-31d650ca1353
aec2693e-7720-402a-8fff-3c52cf3801ed,CANCELLED,118f203e-da84-4f4a-8b22-91b256c29b68,2022-12-21T02:45:57Z,93b03de8-3f23-463e-8422-2ed0af6c3e4f
043bfbe5-d7d7-4809-8d29-71de72879fb4,CANCELLED,693eb7bf-bed1-419a-8ddc-bb21ff9659b3,2022-12-21T02:59:06Z,ab4ca9fa-021d-4458-86dd-73c389dae35a
094aceaa-817d-4ecd-8763-a7541c887d2a,CANCELLED,1476aec2-8f2a-4536-90bf-b105e3c8515e,2022-12-21T03:00:33Z,1715692b-45a1-49a7-90a4-6c43586aca94
17156e60-3ce6-4efe-bfc5-96e21c24bdf8,CANCELLED,46a00395-9b6f-4a04-b085-3bd5f15696c4,2022-12-21T02:49:54Z,83c30bf4-3648-4c84-94ae-40e069845ca8
34c3561b-9e61-45d7-8f67-fb4dca949806,CANCELLED,6ea3a017-1495-49e8-b40d-80ae37b3c91a,2022-12-21T02:48:13Z,b727fcbe-52ff-4b96-8a89-14d459513824
7155def3-c3c2-4f07-a14e-465bdc4a3ffe,COMPLETED,d473db5e-53cd-44ae-b4d2-8b7581c3425f,2022-12-21T03:05:23Z,93b97080-3af1-4ffd-969e-3159bf0bbd28
d197501e-128c-4dac-a3a2-02a00d322f03,CANCELLED,46a00395-9b6f-4a04-b085-3bd5f15696c4,2022-12-21T02:50:31Z,651cd394-9b8f-4fe6-8a7e-5c41fcf07c15
f5518c01-5a5c-4cfd-baf7-30a8f5710161,CANCELLED,9950db5e-fd8d-40cb-802f-aeba48834773,2022-12-21T03:47:42Z,c44afc59-d32b-4080-ae98-2ac43f4c05f6
fbde55b0-f231-4063-8401-f21b23687845,CANCELLED,06b552d1-2950-4e33-bae1-d715e9d28fbc,2022-12-21T03:00:15Z,919a6eca-0fc4-4e07-8f46-16e15821dca2
279acad7-3008-407d-a750-117100117143,COMPLETED,46a00395-9b6f-4a04-b085-3bd5f15696c4,2022-12-21T02:51:17Z,ef25b07c-14dd-47a8-b16c-5980bdbf0176
9f50c3b7-4bcd-4586-9112-b7cb67760bd7,CANCELLED,6ea3a017-1495-49e8-b40d-80ae37b3c91a,2022-12-21T02:51:14Z,7c4e62f8-e26e-4bd1-a1a1-cc74b9e22368
eb5529eb-35c5-4655-98d4-73c8a754ac92,CANCELLED,e9cd7724-02ca-41be-a0c9-2b2b825b3cf5,2022-12-21T02:50:32Z,06195873-4e96-4c58-84de-36a3402ecb62
f80e6bc9-374b-4cea-bba5-5c6ca30997be,CANCELLED,af6214bb-b8ed-4183-8d56-c82dd87096cd,2022-12-21T03:45:55Z,c36b7448-00ec-4591-8ccf-9a08b6ab3775
b715387f-6948-412d-b849-1f831e258a7a,CANCELLED,e9cd7724-02ca-41be-a0c9-2b2b825b3cf5,2022-12-21T02:52:58Z,0ee272d6-3b5a-4b7b-8a34-2cb42f73bd46
2a29ec3b-e778-4e32-bb0b-8c9ddaa8a32c,CANCELLED,23438cbb-25f4-476c-a571-2916f8e68d79,2022-12-21T04:11:48Z,3375a436-1840-4f49-925e-07ed00ca4b86
a91d8259-149c-435a-b993-f4b836afd188,CANCELLED,ba1890f5-ca58-435c-841c-45b35f74b5e3,2022-12-21T02:53:32Z,38af3313-35ba-4bf2-97c9-611f00c98254
e8090c17-7692-4986-b944-5674d15fd411,CANCELLED,fdba2d75-9761-4e3a-977b-e7387c368c0c,2022-12-21T02:54:00Z,a9ef925c-e8fe-4840-a64e-4b9ae06cb40d
0fd21cdf-63be-4dc3-a85b-9e0f2b533538,CANCELLED,0259647e-79e7-4914-bf04-c1cf96cb75d8,2022-12-21T02:53:38Z,ea7f1d7b-bf02-4993-9054-77bf57ef6ec1
65108ccd-e4bd-4c8c-8220-c96e19383760,CANCELLED,c717d04d-8e42-4448-8ed2-dfadfd65f2d8,2022-12-21T02:55:21Z,2bcbfb73-9628-48b5-959e-1fdc2de4d4fa
bf01add7-f97d-4772-878c-9a71cb5d91a8,CANCELLED,fdba2d75-9761-4e3a-977b-e7387c368c0c,2022-12-21T02:55:36Z,ccb57353-65e7-4435-ba31-c3ea63ef67bc
6968ec54-cf25-40a0-921a-316edf68f8d1,COMPLETED,c6498e76-07e5-447a-b09c-91d46fe7100f,2022-12-21T02:56:21Z,4701cb27-cfca-49fe-99f5-6605df61b3fa
8dffea5e-b3c3-426a-9f04-d7e207adf245,CANCELLED,99ea5fda-916a-403b-86af-c03ebc53ece4,2022-12-21T02:58:51Z,32c54f96-43c0-41f5-b17b-606274ce3ce5
3b49f4b3-311a-4c41-a87f-1253550cfcc4,COMPLETED,6c82d302-6e97-42d0-8f1b-1f691fee14fe,2022-12-21T03:08:21Z,73177650-4020-41b8-9d14-633f5ff2c408
9bda4f28-7670-4625-961b-beaa90aa8bca,CANCELLED,4e7d2490-eb2a-47ca-b857-0008394023dc,2022-12-21T02:58:30Z,f0d6deef-4106-4921-8bbb-2ee56c452654
9884941f-a911-46b5-95e8-b49da3474193,COMPLETED,18e2d4e1-db8f-44f1-bd63-776ee3f9dd04,2022-12-21T03:02:37Z,afdda960-40d0-4752-99f5-36acf65ed018
efd882d5-20d4-4132-8866-5b0fe5aa8115,CANCELLED,db66f0f0-6182-4809-a776-7e993410cbf9,2022-12-21T03:02:59Z,6eeb3d43-03bf-4984-86dd-b7920d8abd98
a06e63a5-bd54-46e3-8dd0-7752bb73eff6,CANCELLED,fb30dba3-464f-43c7-9b8c-93fcc778e311,2022-12-21T03:22:36Z,b5cf2b14-e514-4ca9-ace4-e1e79bcdee6b
5e4f3d73-6318-4f31-b08a-6ae2cf0d2e03,CANCELLED,9dc2583b-39dd-4cfc-8e03-fa965b511ba2,2022-12-21T02:58:49Z,5d68b7bf-d589-409c-b0d3-338bb6bc0ff3
707a27dd-a73d-4b29-a87c-45be5127f0ba,CANCELLED,e861425a-f48c-4f21-baea-7d17dfb04ac9,2022-12-21T03:04:32Z,7b79be47-6da7-40ac-8b07-9edffb8289c5
d5c028a9-4129-4929-8f07-b7ee402f07d8,CANCELLED,a0a29733-fd28-4ad3-9ad0-345179c47e63,2022-12-21T02:59:56Z,405d22eb-f813-455f-820a-ffa85998d36c
8dae4635-fb1f-481b-8936-3e33e545f562,CANCELLED,bcadfa5f-f839-45f7-9c97-dc3e76fb7f5e,2022-12-21T03:33:43Z,9d9b5659-9cc8-4135-a1ab-26c265da283c
94f990a8-b6cf-407f-a0b8-00c0fe637798,CANCELLED,95c708d9-f715-4737-a38b-a582f3512bca,2022-12-21T03:06:26Z,4ed2dcbc-50fc-4734-ae8e-aa8efc02c8e4
afe9bf24-5d51-4e67-96d7-e52d34dda382,CANCELLED,0dd3c32c-bbe7-40a8-8ae9-d0cde27fd270,2022-12-21T03:06:27Z,118db89b-f4f7-437a-bb4e-87531a41d120
45d3c455-39f1-4a5b-af51-b299968f2097,CANCELLED,fac411df-dd95-4984-bbc2-3ec77ebfb34d,2022-12-21T03:04:22Z,e1e752c0-fda5-4646-a311-1620caae5f52
6a026b81-adef-413b-83b5-8455ac3882e3,CANCELLED,06b552d1-2950-4e33-bae1-d715e9d28fbc,2022-12-21T03:05:44Z,333e9c07-c3a9-4768-86a7-ff7267de0f61
009690a6-ec7d-460e-b77f-41a2a15aa9b5,COMPLETED,f4847201-ffac-488e-9872-bb92ac61ead8,2022-12-21T02:49:40Z,a35751f8-7bf3-4529-baff-146e4324a2b8
418350dc-3c55-45e1-8a30-05b8dde3d6fc,CANCELLED,4e7d2490-eb2a-47ca-b857-0008394023dc,2022-12-21T03:02:17Z,7764b1a4-6ae6-42f2-899c-a18b19716f77
8d5ac80c-a092-4804-869a-68d474964f99,CANCELLED,015ea867-1a48-4179-9b94-b0bd332d7707,2022-12-21T03:48:34Z,8121dba7-6ba8-4a0d-9547-ae22ffc76ffa
fb2d2840-6c2f-4055-8e55-9e3832759d62,CANCELLED,2568dabc-43b1-4d40-a330-c16fdbc94eb8,2022-12-21T03:09:10Z,1f6c6410-66a8-48f1-b22a-f517ba15909e
c6a1b2f4-07d7-4797-98df-5fcde21c780d,CANCELLED,e30527ef-de85-4b8a-8cef-bfa1c29a1833,2022-12-21T03:08:52Z,cb290320-a505-48c7-9f4e-49ff7e6b7aa8
