driver_id,booking_id,source,reason_code,additional_info
NA,c04cc2dc-3b61-4ce8-a6d9-b9cfcf0aa1e9,ByUser,NA,NA
75fb755c-7771-495c-a297-5c323682ea7c,47d12a1d-f586-44a0-ba82-e04092807a91,ByDriver,NOT_REACHABLE,Customer not reachable.
aeb8d0a5-7c63-4734-bade-d0cfdde5962b,6d2e702e-78f0-4222-bfb4-b0a549be5212,ByDriver,PICKUP_LOC_TOO_FAR,Pickup location was too far.
41afdfc1-7446-4b8b-8b47-7b49fb8b3eb8,9b63bffc-3a7a-4fca-84f0-7566ef04bd79,ByDriver,PICKUP_LOC_TOO_FAR,Pickup location was too far.
7bafd12a-19e5-461a-839e-e92ec36baf09,66bbf9c4-47a6-4cc8-a0a5-2e4e461df410,ByDriver,PICKUP_LOC_TOO_FAR,Pickup location was too far.
2beb36ce-c288-4723-83b8-a4f112095c2f,7ca9c9a8-38e0-4fac-8a44-9e5cf4de8712,ByDriver,ACCEPTED_BY_MISSTAKE,Accepted by mistake.
NA,91bc6026-5ee4-4c92-a8ae-56f929a77e51,ByUser,NA,NA
bd0f9e7a-3f5a-430e-aa64-70a63889d467,e4636e60-0101-4295-84d9-09abca6498ae,ByDriver,NOT_REACHABLE,Customer not reachable.
b0123201-a33f-46e8-ae28-1d5b568f6453,c8f0828a-57d4-4335-86c2-0ebb9400d3e1,ByDriver,ACCEPTED_BY_MISSTAKE,Accepted by mistake.
56c8ba87-f247-4c3f-9fc3-023acd41e62c,5fd8e110-2f58-4145-a971-f2a79365cab1,ByDriver,PICKUP_LOC_TOO_FAR,Pickup location was too far.
fcb647c6-8194-442e-b2af-b955021ede56,65ae8ece-3c0a-4518-b048-e04c32d46621,ByDriver,ACCEPTED_BY_MISSTAKE,Accepted by mistake.
NA,4c9d5b1a-d745-4946-9b32-6f2860c5137a,ByUser,NA,NA
746d66f1-ea86-41a5-9453-eff61eb39005,8c0f8142-b652-4379-b2b9-5324aa204b1e,ByDriver,PICKUP_LOC_TOO_FAR,Pickup location was too far.
NA,a62cd1e2-5d72-41a2-9d63-2df9f75562cc,ByUser,NA,NA
9aab5644-3982-408b-96d3-351622a7ea13,3cdebcdc-58f4-46cc-a1aa-12ed22c63c8f,ByDriver,TOO_MUCH_PASSANGERS,Passenger limit exceeded.
40eb1241-1f16-4b51-8d07-d23d55989db8,f8a3e394-b0e3-4c10-846f-119d254bc7a8,ByDriver,PICKUP_LOC_TOO_FAR,Pickup location was too far.
41afdfc1-7446-4b8b-8b47-7b49fb8b3eb8,bd051944-8f73-4e19-bc9c-bea7044659b6,ByDriver,ACCEPTED_BY_MISSTAKE,Accepted by mistake.
NA,3027cef1-11c3-45c4-95f9-3d4102329b50,ByUser,NA,NA
NA,9a4f0268-7188-4f86-840d-b3da46b1034a,ByUser,NA,NA
NA,576ea3ff-3b63-4c2e-bee0-33bb8b1e0198,ByUser,NA,NA
